MutantSet
Field,Value
GlobalPath,None
NumberOfMutants,94

Mutants
"Mutant ID","Mutant Type","Mutant Path","CompilationUnit Path","Line Number","isSubsuming","Number of Failed Tests","Subsumes","SubsumedBy","MutuallySubsuming"
71,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\74.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,0,,,
72,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\75.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,0,,,
73,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\76.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,0,,,
74,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\77.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,421,False,0,,,
75,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\78.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,408,False,0,,,
76,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\79.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,382,False,0,,,
77,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\8.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,6,1;7;8;11;66;13;88;6;9,59;1;88;52;53;22;33;44;54;55;66;56;86;14;87;89;58;16,1;66;88
78,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\80.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,382,False,0,,,
79,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\81.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,191,False,0,,,
80,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\82.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,180,False,0,,,
81,ConditionalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\83.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,180,False,0,,,
82,ArithmeticOperatorReplacementUnary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\84.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,191,False,0,,,
83,ArithmeticOperatorReplacementUnary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\85.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,191,False,0,,,
84,ArithmeticOperatorReplacementUnary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\86.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,54,False,0,,,
85,ArithmeticOperatorReplacementUnary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\87.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,49,False,0,,,
86,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\88.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,239,True,1,59;1;88;7;51;8;52;53;11;54;87;66;13;77;14;6;9,54;52;87;53,54;52;87;53
87,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\89.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,236,True,1,59;1;88;7;51;8;52;53;11;54;86;66;13;77;14;6;9,54;52;86;53,54;52;86;53
88,RelationalOperatorReplacement,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\9.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,429,False,6,1;7;8;11;66;13;77;6;9,59;1;89;52;53;22;33;44;54;55;66;56;77;14;86;87;58;16,1;66;77
89,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\90.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,217,True,1,59;1;88;16;7;8;11;66;13;77;14;6;58;9,58;16,58;16
90,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\91.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,138,False,0,,,
91,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\92.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,111,False,0,,,
92,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\93.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,110,False,0,,,
93,ArithmeticOperatorReplacementBinary,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java\94.java,java\com\grahamedgecombe\jterminal\vt100\Vt100TerminalModel.java,96,False,0,,,
